entity_type,precision,recall,f1,true_positives,false_positives,false_negatives,support
BOD,1.0,0.0,0.0,0,0,71,72
BUILDING,1.0,0.0,0.0,0,0,116,120
CITY,1.0,0.0,0.0,0,0,18,125
COUNTRY,1.0,0.0,0.0,0,0,16,118
DATE,1.0,0.0,0.0,0,0,57,57
DRIVERLICENSE,1.0,0.0,0.0,0,0,16,62
EMAIL,0.9661,0.7703,0.8571,57,2,17,58
GEOCOORD,1.0,0.0,0.0,0,0,7,7
GIVENNAME1,1.0,0.0,0.0,0,0,24,96
GIVENNAME2,1.0,0.0,0.0,0,0,6,35
IDCARD,1.0,0.0,0.0,0,0,12,45
ID_CARD,0.9333,1.0,0.9655,14,1,0,0
IP,1.0,0.0,0.0,0,0,2,57
IP_ADDRESS,1.0,1.0,1.0,43,0,0,0
LASTNAME1,1.0,0.0,0.0,0,0,37,98
LASTNAME2,1.0,0.0,0.0,0,0,9,41
LASTNAME3,1.0,0.0,0.0,0,0,2,12
LICENSE,0.9615,1.0,0.9804,25,1,0,0
LOC,0.8963,1.0,0.9453,432,50,0,0
MISC,0.2889,1.0,0.4483,13,32,0,0
ORG,0.7971,1.0,0.8871,55,14,0,0
PASS,1.0,0.0,0.0,0,0,24,42
PASSPORT,1.0,0.0,0.0,0,0,13,70
PASSWORD,0.9444,1.0,0.9714,17,1,0,0
PER,0.8586,1.0,0.9239,170,28,0,0
PHONE,0.9903,1.0,0.9951,204,2,0,0
POSTCODE,1.0,0.0,0.0,0,0,111,128
SECADDRESS,1.0,0.0,0.0,0,0,41,71
SEX,1.0,0.0,0.0,0,0,46,66
SOCIALNUMBER,1.0,0.0,0.0,0,0,11,54
SSN,1.0,1.0,1.0,20,0,0,0
STATE,1.0,0.0,0.0,0,0,68,126
STREET,1.0,0.0,0.0,0,0,2,123
TEL,1.0,0.0,0.0,0,0,6,59
TIME,1.0,0.0,0.0,0,0,105,108
TITLE,1.0,0.0,0.0,0,0,34,47
USERNAME,1.0,0.0,0.0,0,0,43,67
