selection_rank,sample_id,dataset_index,char_length,word_count,pii_entity_count,pii_categories,detected_qi_categories,selection_rationale
1,ai4privacy_48624,18282,509,76,19,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GEOCOORD; GIVENNAME1; GIVENNAME2; LASTNAME1; PASSPORT; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
2,ai4privacy_53135,28677,452,59,18,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GEOCOORD; GIVENNAME1; IDCARD; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; STATE; STREET; TIME; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
3,ai4privacy_52448A,27075,444,44,31,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; LASTNAME1; LASTNAME2; LASTNAME3; PASS; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
4,ai4privacy_43958,7384,231,24,19,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; IP; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; SECADDRESS; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
5,ai4privacy_50690B,23047,502,84,19,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; IDCARD; IP; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
6,ai4privacy_47610B,15925,348,29,19,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; IP; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TIME,DATE; LOCATION,High-coverage multi-PII contextual document
7,ai4privacy_46995B,14471,471,76,18,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; PASS; POSTCODE; SECADDRESS; STATE; STREET; TIME; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
8,ai4privacy_48860A,18826,506,66,19,BOD; BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; GEOCOORD; IDCARD; IP; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
9,ai4privacy_53416,29389,486,79,34,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; LASTNAME1; LASTNAME2; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
10,ai4privacy_51663B,25250,387,55,17,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; LASTNAME1; PASS; PASSPORT; POSTCODE; SECADDRESS; SEX; STATE; STREET; TITLE; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
11,ai4privacy_51663C,25251,386,51,17,BOD; BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; SEX; STATE; STREET; TITLE; USERNAME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
12,ai4privacy_49434A,20123,510,96,33,BUILDING; CITY; COUNTRY; DRIVERLICENSE; EMAIL; GIVENNAME1; GIVENNAME2; IP; LASTNAME1; PASS; POSTCODE; SEX; STATE; STREET; TEL; TITLE,DATE; MONEY,High-coverage multi-PII contextual document
13,ai4privacy_50690C,23048,499,84,17,BOD; BUILDING; CITY; COUNTRY; DRIVERLICENSE; GIVENNAME1; GIVENNAME2; IDCARD; IP; LASTNAME1; POSTCODE; SOCIALNUMBER; STATE; STREET; TEL; TIME,DATE; DEMOGRAPHIC,High-coverage multi-PII contextual document
14,ai4privacy_47102B,14720,397,67,20,BOD; BUILDING; CITY; COUNTRY; EMAIL; GIVENNAME1; GIVENNAME2; LASTNAME1; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; USERNAME,COMPOUND_QI; DATE; DEMOGRAPHIC; LOCATION,High-coverage multi-PII contextual document
15,ai4privacy_53033A,28432,469,62,16,BUILDING; CITY; COUNTRY; DATE; GIVENNAME1; GIVENNAME2; PASS; POSTCODE; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE; LOCATION,High-coverage multi-PII contextual document
16,ai4privacy_52877,28062,361,40,31,BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; IP; POSTCODE; SECADDRESS; SEX; SOCIALNUMBER; STATE; STREET; TEL; TIME; TITLE; USERNAME,DATE,High-coverage multi-PII contextual document
17,ai4privacy_53472A,29528,502,72,18,BUILDING; CITY; COUNTRY; DATE; EMAIL; GIVENNAME1; GIVENNAME2; IDCARD; LASTNAME1; LASTNAME2; LASTNAME3; PASSPORT; POSTCODE; STATE; STREET; TEL; TIME,DATE,High-coverage multi-PII contextual document
18,ai4privacy_46482B,13214,469,66,25,BUILDING; CITY; COUNTRY; DATE; DRIVERLICENSE; EMAIL; IDCARD; IP; LASTNAME1; LASTNAME2; PASSPORT; POSTCODE; SECADDRESS; SOCIALNUMBER; STATE; STREET; TEL,DATE,High-coverage multi-PII contextual document
